state,year,oberate,unerate,pcspend,fastfood,bachelors,pop,income
Utah,2018,27.8,2.9,36280,2442,34.9,3155.153,89080
Vermont,2018,27.5,2.6,47255,426,38.7,624.802,80990
Virginia,2018,30.4,3.0,42644,6840,39.3,8510.92,89180
Washington,2018,28.7,4.4,45821,5083,36.7,7526.793,92150
West Virginia,2018,39.5,5.2,36710,1322,21.3,1805.953,58460
Wisconsin,2018,32,3.0,40432,3782,30,5809.319,72390
Wyoming,2018,29,4.1,42888,362,26.9,579.054,72290
Alabama,2019,36.1,3.2,35345,4083,26.3,4907.965,64010
Alaska,2019,30.5,5.5,50140,452,30.2,733.603,89290
Arizona,2019,31.4,4.9,40519,5020,30.2,7291.843,80500
Arkansas,2019,37.4,3.5,34722,2145,23.3,3020.985,62120
California,2019,26.2,4.1,49004,32421,35,39437.61,88960
Colorado,2019,23.8,2.6,48067,4357,42.7,5758.486,82580
Connecticut,2019,29.1,3.5,51713,2682,39.8,3566.022,99420
Delaware,2019,34.4,3.7,46730,769,33.2,976.668,84510
District of Columbia,2019,23.8,5.4,72117,864,59.7,708.253,106100
Florida,2019,27,3.2,45273,14198,30.7,21492.056,66480
Georgia,2019,33.1,3.6,39074,8932,32.5,10628.02,64500
Hawaii,2019,25,2.5,45835,1387,33.6,1415.615,100200
Idaho,2019,29.5,3.0,34643,1170,28.7,1789.06,75160
Illinois,2019,31.6,4.0,44665,10410,35.8,12667.017,84740
Indiana,2019,35.3,3.3,38310,4944,26.9,6731.01,75960
Iowa,2019,33.9,2.6,38615,2114,29.3,3159.596,75240
Kansas,2019,35.2,3.1,38971,2130,34,2912.635,83320
Kentucky,2019,36.5,4.1,36704,3311,25.1,4472.345,63400
Louisiana,2019,35.9,4.6,37830,3576,25,4658.285,58890
Maine,2019,31.7,2.8,46310,998,33.2,1345.77,75800
Maryland,2019,32.3,3.4,45295,5491,40.9,6054.954,108900
Massachusetts,2019,25.2,3.1,54409,5410,45,6894.883,99900
Michigan,2019,36,4.1,42040,7351,30,9984.795,73030
Minnesota,2019,30.1,3.4,45893,3778,37.3,5640.053,92740
Mississippi,2019,40.8,5.4,32368,2333,22.3,2978.227,51010
Missouri,2019,34.8,3.1,40742,4443,30.2,6140.475,69020
Montana,2019,28.3,3.6,42555,764,33.6,1070.123,68560
Nebraska,2019,34.1,3.0,40872,1426,33.2,1932.571,83230
Nevada,2019,30.6,4.0,41723,2624,25.7,3090.771,80760
New Hampshire,2019,31.8,2.6,51826,1073,37.6,1360.783,98980
New Jersey,2019,26.7,3.4,50009,7163,41.2,8891.258,99920
New Mexico,2019,31.7,4.9,35705,1546,27.7,2099.634,60500
New York,2019,27.1,3.8,49614,17931,37.8,19463.131,81840
North Carolina,2019,34,3.8,39066,8123,32.3,10501.384,69660
North Dakota,2019,34.8,2.1,45787,497,30.4,763.724,79760
Ohio,2019,34.8,4.2,40364,9721,29.3,11696.507,73650
Oklahoma,2019,36.8,3.1,35108,3010,26.2,3960.676,67650
Oregon,2019,29,3.7,42776,3060,34.5,4216.116,84760
Pennsylvania,2019,33.2,4.5,45489,9592,32.3,12798.883,80390
Rhode Island,2019,30,3.6,43673,870,34.8,1058.158,79900
South Carolina,2019,35.4,2.8,38340,3811,29.6,5157.702,70650
